id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,off_camera,counterpress,block_deflection,pass_deflected,foul_won_defensive,out,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_through_ball,pass_technique_id,pass_technique_name,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,ball_recovery_recovery_failure,goalkeeper_end_location,pass_inswinging,clearance_left_foot,clearance_aerial_won,foul_committed_type_id,foul_committed_type_name,shot_first_time,foul_committed_penalty,foul_won_penalty,dribble_nutmeg,dribble_overrun,clearance_other,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,ball_recovery_offensive,shot_one_on_one,pass_outswinging,shot_aerial_won,foul_committed_advantage,foul_won_advantage,block_offensive,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name
33570ea7-87a7-4ef6-8f4f-7cbfa77c78fe,3699,3,00:06:49.224,96,49,208,0.742339,30,Pass,779,Argentina,3,From Free Kick,779,Argentina,,['67c18d93-6df4-42b1-ac30-ff214951096e'],"[39.8, 35.7]",38718.0,Enzo Fernandez,10.0,Center Defensive Midfield,7797.0,Rodrigo Javier De Paul,15.387333,0.4433020,1.0,Ground Pass,"[53.7, 42.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c18d93-6df4-42b1-ac30-ff214951096e,3700,3,00:06:49.966,96,49,208,,42,Ball Receipt*,779,Argentina,3,From Free Kick,779,Argentina,,['33570ea7-87a7-4ef6-8f4f-7cbfa77c78fe'],"[53.7, 42.3]",7797.0,Rodrigo Javier De Paul,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a6328d1-0ed6-4892-a79e-65870152e930,3701,3,00:06:49.966,96,49,208,1.617525,43,Carry,779,Argentina,3,From Free Kick,779,Argentina,,"['237241cc-17cf-4a64-b4f9-2520bc8fdd6c', '67c18d93-6df4-42b1-ac30-ff214951096e']","[53.7, 42.3]",7797.0,Rodrigo Javier De Paul,13.0,Right Center Midfield,,,,,,,,,,,,"[54.8, 42.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237241cc-17cf-4a64-b4f9-2520bc8fdd6c,3702,3,00:06:51.584,96,51,208,0.582725,30,Pass,779,Argentina,3,From Free Kick,779,Argentina,,['e050be4c-c249-4e35-9e9b-ff3a6786f434'],"[54.8, 42.1]",7797.0,Rodrigo Javier De Paul,13.0,Right Center Midfield,5503.0,Lionel Andrés Messi Cuccittini,18.848078,0.26299500,1.0,Ground Pass,"[73.0, 47.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e050be4c-c249-4e35-9e9b-ff3a6786f434,3703,3,00:06:52.167,96,52,208,,42,Ball Receipt*,779,Argentina,3,From Free Kick,779,Argentina,,['237241cc-17cf-4a64-b4f9-2520bc8fdd6c'],"[73.0, 47.0]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c44213a-37b6-4d5d-9d4c-489af6e4f66c,3704,3,00:06:52.167,96,52,208,0.890434,43,Carry,779,Argentina,3,From Free Kick,779,Argentina,,"['6e043e3f-5101-494a-8731-ef34034e9815', 'e050be4c-c249-4e35-9e9b-ff3a6786f434']","[73.0, 47.0]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[73.6, 46.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e043e3f-5101-494a-8731-ef34034e9815,3705,3,00:06:53.057,96,53,208,1.122245,30,Pass,779,Argentina,3,From Free Kick,779,Argentina,,['29255c3d-1d27-419f-9d75-48134df79abe'],"[73.6, 46.8]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,27886.0,Alexis Mac Allister,17.490854,-1.2689350,1.0,Ground Pass,"[78.8, 30.1]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29255c3d-1d27-419f-9d75-48134df79abe,3706,3,00:06:54.179,96,54,208,,42,Ball Receipt*,779,Argentina,3,From Free Kick,779,Argentina,,['6e043e3f-5101-494a-8731-ef34034e9815'],"[78.8, 30.1]",27886.0,Alexis Mac Allister,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a893740-0b4b-49b8-8060-fe571b936094,3707,3,00:06:54.179,96,54,208,0.693336,43,Carry,779,Argentina,3,From Free Kick,779,Argentina,,"['29255c3d-1d27-419f-9d75-48134df79abe', '859a8676-db31-49e3-a3ee-918ba515cbdc']","[78.8, 30.1]",27886.0,Alexis Mac Allister,15.0,Left Center Midfield,,,,,,,,,,,,"[80.5, 29.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859a8676-db31-49e3-a3ee-918ba515cbdc,3708,3,00:06:54.873,96,54,208,2.581567,30,Pass,779,Argentina,3,From Free Kick,779,Argentina,,['06ca4ac0-20ce-4e15-bf13-f19f501b2fe9'],"[80.5, 29.2]",27886.0,Alexis Mac Allister,15.0,Left Center Midfield,19597.0,Marcos Javier Acuña,31.408598,-0.88461900,1.0,Ground Pass,"[100.4, 4.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
